1,2,3,4,5,6,7,8,9,10,11,12
1,0.51,0.47,0.49,0.46,0.47,0.41,0.36,0.45,0.47,0.47,0.43
0.51,1,0.52,0.52,0.49,0.52,0.37,0.41,0.51,0.5,0.51,0.46
0.47,0.52,1,0.54,0.51,0.55,0.37,0.37,0.51,0.49,0.5,0.47
0.49,0.52,0.54,1,0.53,0.56,0.36,0.37,0.52,0.51,0.51,0.46
0.46,0.49,0.51,0.53,1,0.54,0.35,0.35,0.49,0.48,0.5,0.44
0.47,0.52,0.55,0.56,0.54,1,0.37,0.37,0.52,0.49,0.51,0.48
0.41,0.37,0.37,0.36,0.35,0.37,1,0.29,0.36,0.34,0.36,0.36
0.36,0.41,0.37,0.37,0.35,0.37,0.29,1,0.37,0.36,0.37,0.33
0.45,0.51,0.51,0.52,0.49,0.52,0.36,0.37,1,0.49,0.5,0.46
0.47,0.5,0.49,0.51,0.48,0.49,0.34,0.36,0.49,1,0.49,0.46
0.47,0.51,0.5,0.51,0.5,0.51,0.36,0.37,0.5,0.49,1,0.46
0.43,0.46,0.47,0.46,0.44,0.48,0.36,0.33,0.46,0.46,0.46,1
